Race,Round,Driver,AvgLapTime,FastestLap,LapsCompleted
Australia,1,Russell,91.885,85.065,57
Australia,1,Antonelli,94.24000000000001,84.901,57
China,2,Russell,97.07849999999999,95.816,56
China,2,Antonelli,97.85900000000001,96.046,56
Japan,3,Russell,92.488,91.357,53
Japan,3,Antonelli,93.147,90.965,53
Bahrain,4,Russell,97.8865,95.518,57
Bahrain,4,Antonelli,98.638,96.69,57
Saudi Arabia,5,Russell,93.89750000000001,92.893,50
Saudi Arabia,5,Antonelli,93.80449999999999,92.396,50
Miami,6,Russell,92.356,90.318,57
Miami,6,Antonelli,92.5,90.795,57
Imola,7,Russell,81.556,79.733,63
Imola,7,Antonelli,82.247,80.62,45
Monaco,8,Russell,78.9305,73.405,76
Monaco,8,Antonelli,79.075,73.518,75
Spain,9,Russell,80.6055,77.244,66
Spain,9,Antonelli,81.289,78.255,54
Canada,10,Russell,75.6745,74.119,70
Canada,10,Antonelli,75.642,74.455,70
Austria,11,Russell,70.65950000000001,69.372,70
Britain,12,Russell,104.186,90.869,52
Britain,12,Antonelli,116.7,99.336,23
Belgium,13,Russell,107.268,106.566,44
Belgium,13,Antonelli,108.031,104.861,44
Hungary,14,Russell,81.446,79.409,70
Hungary,14,Antonelli,82.584,80.745,69
Netherlands,15,Russell,75.99600000000001,73.728,72
Netherlands,15,Antonelli,76.661,73.48,72
Italy,16,Russell,83.479,81.8,53
Italy,16,Antonelli,83.688,81.968,53
Azerbaijan,17,Russell,105.374,103.754,51
Azerbaijan,17,Antonelli,105.3355,104.091,51
Singapore,18,Russell,96.66,95.676,62
Singapore,18,Antonelli,97.0035,95.303,62
USA,19,Russell,100.234,98.224,56
USA,19,Antonelli,100.0435,97.577,56
Mexico,20,Russell,82.517,80.052,71
Mexico,20,Antonelli,82.556,80.826,71
Brazil,21,Russell,74.533,73.097,71
Brazil,21,Antonelli,74.505,73.123,71
Las Vegas,22,Russell,95.66,94.592,50
Las Vegas,22,Antonelli,95.7175,93.998,50
Qatar,23,Russell,86.998,83.198,57
Qatar,23,Antonelli,86.554,83.955,57
Abu Dhabi,24,Russell,89.402,88.599,58
Abu Dhabi,24,Antonelli,90.1645,88.029,58
